date,equity,cash,n_positions
2021-06-01,10000000,10000000,0
2021-06-02,10000000,10000000,0
2021-06-03,10000000,10000000,0
2021-06-04,10000000,10000000,0
2021-06-07,10000000,10000000,0
2021-06-08,10000000,10000000,0
2021-06-09,10000000,10000000,0
2021-06-10,10000000,10000000,0
2021-06-11,10000000,10000000,0
2021-06-15,10019187,0,10
2021-06-16,9906917,0,10
2021-06-17,10040068,0,10
2021-06-18,10018909,0,10
2021-06-21,9781781,0,10
2021-06-22,9774520,0,10
2021-06-23,10012829,0,10
2021-06-24,10036811,0,10
2021-06-25,10036804,0,10
2021-06-28,9989714,0,10
2021-06-29,9994791,0,10
2021-06-30,10058631,0,10
2021-07-01,9960640,0,10
2021-07-02,10029228,0,10
2021-07-05,10207398,0,10
2021-07-06,10102565,0,10
2021-07-07,10097912,0,10
2021-07-08,10107826,0,10
2021-07-09,10084357,0,10
2021-07-12,10193022,0,10
2021-07-13,10190455,0,10
2021-07-14,10306122,0,10
2021-07-15,10493536,0,10
2021-07-16,10486995,0,10
2021-07-19,10371896,0,10
2021-07-20,10211624,0,10
2021-07-21,10192676,0,10
2021-07-22,10353694,0,10
2021-07-23,10208337,0,10
2021-07-26,10271197,0,10
2021-07-27,10211486,0,10
2021-07-28,9918551,0,10
2021-07-29,10142234,0,10
2021-07-30,10089606,0,10
2021-08-02,10221704,0,10
2021-08-03,10314872,0,10
2021-08-04,10327277,0,10
2021-08-05,10342733,0,10
2021-08-06,10168180,0,10
2021-08-09,10049785,0,10
2021-08-10,9903378,0,10
2021-08-11,9770976,0,10
2021-08-12,9843953,0,10
2021-08-13,9605718,0,10
2021-08-16,9598512,0,10
2021-08-17,9384725,0,10
2021-08-18,9645317,0,10
2021-08-19,9283868,0,10
2021-08-20,9322434,0,10
2021-08-23,9656113,0,10
2021-08-24,9668815,0,10
2021-08-25,9922448,0,10
2021-08-26,9885910,0,10
2021-08-27,9977691,0,10
2021-08-30,10097117,0,10
2021-08-31,10111530,0,10
2021-09-01,10286342,0,10
2021-09-02,10192278,0,10
2021-09-03,10269822,0,10
2021-09-06,10221116,0,10
2021-09-07,10100382,0,10
2021-09-08,9959677,0,10
2021-09-09,9974748,0,10
2021-09-10,10235018,0,10
2021-09-13,10127421,0,10
2021-09-14,10117943,0,10
2021-09-15,10047418,0,10
2021-09-16,10118273,0,10
2021-09-17,10188485,0,10
2021-09-22,9951563,0,10
2021-09-23,10102009,0,10
2021-09-24,10138610,0,10
2021-09-27,10138918,0,10
2021-09-28,10105561,0,10
2021-09-29,9782540,0,10
2021-09-30,9907296,0,10
2021-10-01,9649229,0,10
2021-10-04,9461610,0,10
2021-10-05,9572877,0,10
2021-10-06,9538981,0,10
2021-10-07,9802723,0,10
2021-10-08,9736862,0,10
2021-10-12,9506318,0,10
2021-10-13,9319742,0,10
2021-10-14,9352250,0,10
2021-10-15,9633452,0,10
2021-10-18,9662748,0,10
2021-10-19,9922234,0,10
2021-10-20,9917245,0,10
2021-10-21,9943150,0,10
2021-10-22,9991869,0,10
2021-10-25,10015092,0,10
2021-10-26,10177683,0,10
2021-10-27,10359458,0,10
2021-10-28,10467885,0,10
2021-10-29,10464730,0,10
2021-11-01,10678443,0,10
2021-11-02,10729201,0,10
2021-11-03,10780272,0,10
2021-11-04,10774177,0,10
2021-11-05,10987042,0,10
2021-11-08,11109747,0,10
2021-11-09,11120165,0,10
2021-11-10,11171998,0,10
2021-11-11,11050742,0,10
2021-11-12,11203718,0,10
2021-11-15,11310247,0,10
2021-11-16,11340470,0,10
2021-11-17,11398642,0,10
2021-11-18,11399838,0,10
2021-11-19,11400645,0,10
2021-11-22,11549500,0,10
2021-11-23,11424520,0,10
2021-11-24,11394325,0,10
2021-11-25,11298812,0,10
2021-11-26,11058577,0,10
2021-11-29,11157585,0,10
2021-11-30,11331556,0,10
2021-12-01,11442632,0,10
2021-12-02,11479292,0,10
2021-12-03,11568872,0,10
2021-12-06,11515775,0,10
2021-12-07,11498800,0,10
2021-12-08,11536443,0,10
2021-12-09,11488116,0,10
2021-12-10,11453515,0,10
2021-12-13,11609056,0,10
2021-12-14,11386379,0,10
2021-12-15,11384465,0,10
2021-12-16,11439931,0,10
2021-12-17,11348297,0,10
2021-12-20,11286902,0,10
2021-12-21,11424971,0,10
2021-12-22,11525388,0,10
2021-12-23,11750447,0,10
2021-12-24,11750282,0,10
2021-12-27,11875867,0,10
2021-12-28,12035122,0,10
2021-12-29,12127916,0,10
2021-12-30,12203754,0,10
2022-01-03,12045739,0,10
2022-01-04,12178036,0,10
2022-01-05,12132091,0,10
2022-01-06,11911373,0,10
