event_id,event_type,meeting_date,taipei_date,T0,day_k,date,series,close,cum_ret,flag,ew_n,base_date,base_close,days_available,calendar,status
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,0.0,2017-02-13,TAIEX,9710.32,0.0046277568156729565,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,1.0,2017-02-14,TAIEX,9718.78,0.005503026716423998,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,2.0,2017-02-15,TAIEX,9799.76,0.013881201251035868,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,3.0,2017-02-16,TAIEX,9771.25,0.010931562377464843,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,4.0,2017-02-17,TAIEX,9759.76,0.009742809285310017,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,5.0,2017-02-20,TAIEX,9753.2,0.009064113002930974,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,6.0,2017-02-21,TAIEX,9763.93,0.01017423664773709,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,7.0,2017-02-22,TAIEX,9778.78,0.011710614665012775,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,8.0,2017-02-23,TAIEX,9769.31,0.010730850367127065,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,9.0,2017-02-24,TAIEX,9750.47,0.008781667751270206,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,10.0,2017-03-01,TAIEX,9674.78,0.000950795554125472,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,11.0,2017-03-02,TAIEX,9691.8,0.0027116813355416713,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,12.0,2017-03-03,TAIEX,9648.21,-0.0017981313091079976,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,13.0,2017-03-06,TAIEX,9682.63,0.0017629549773992004,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,14.0,2017-03-07,TAIEX,9738.07,0.007498766241895272,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,15.0,2017-03-08,TAIEX,9753.45,0.009089977952716932,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,16.0,2017-03-09,TAIEX,9658.61,-0.0007221493980190674,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,17.0,2017-03-10,TAIEX,9627.89,-0.0039004344276967196,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,18.0,2017-03-13,TAIEX,9697.34,0.003284848622794989,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,19.0,2017-03-14,TAIEX,9744.21,0.008134009408633958,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,20.0,2017-03-15,TAIEX,9740.31,0.007730516191975845,缺adj,,2017-02-10,9665.59,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,0.0,2017-02-13,3037,13.3,-0.0037453183520598232,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,1.0,2017-02-14,3037,13.45,0.0074906367041198685,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,2.0,2017-02-15,3037,13.7,0.02621722846441954,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,3.0,2017-02-16,3037,13.75,0.029962546816479474,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,4.0,2017-02-17,3037,13.75,0.029962546816479474,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,5.0,2017-02-20,3037,14.35,0.07490636704119846,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,6.0,2017-02-21,3037,14.0,0.048689138576779145,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,7.0,2017-02-22,3037,13.95,0.04494382022471899,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,8.0,2017-02-23,3037,14.25,0.0674157303370786,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,9.0,2017-02-24,3037,14.35,0.07490636704119846,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,10.0,2017-03-01,3037,14.05,0.05243445692883908,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,11.0,2017-03-02,3037,14.0,0.048689138576779145,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,12.0,2017-03-03,3037,14.0,0.048689138576779145,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,13.0,2017-03-06,3037,13.9,0.04119850187265928,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,14.0,2017-03-07,3037,14.1,0.05617977528089879,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,15.0,2017-03-08,3037,14.25,0.0674157303370786,缺adj,,2017-02-10,13.35,21,TWSE(FMTQIK),complete
