event_id,event_type,meeting_date,taipei_date,T0,days_available,last_k,last_date,taiex_cum,ew_cum,ew_n,ew_excluded,net_T0,net_cum,status,flag
tx01-2017-02-09-call,call,2017-02-09,2017-02-10,2017-02-13,21,20.0,2017-03-15,0.007730516191975845,0.040112485856730884,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx02-2017-04-06-inperson,in-person,2017-04-06,2017-04-06,2017-04-07,21,20.0,2017-05-08,0.00398573420356052,-0.011840260379366536,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx03-2017-04-11-call,call,2017-04-11,2017-04-12,2017-04-13,21,20.0,2017-05-12,0.017228102769696996,0.0013312923328854377,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx04-2017-04-23-call,call,2017-04-23,2017-04-24,2017-04-25,21,20.0,2017-05-24,0.03359453382657862,0.025813001549962505,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx05-2017-07-02-call,call,2017-07-02,2017-07-03,2017-07-04,21,20.0,2017-08-01,0.0023528756462005695,0.054926743814668805,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx06-2017-07-08-inperson,in-person,2017-07-08,2017-07-08,2017-07-10,21,20.0,2017-08-07,0.027398577290053128,0.10335453867594908,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx07-2017-08-11-call,call,2017-08-11,2017-08-12,2017-08-14,21,20.0,2017-09-11,0.023485004700098955,0.08634743698653974,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx08-2017-09-06-call,call,2017-09-06,2017-09-06,2017-09-07,21,20.0,2017-10-06,-0.0014268297076375225,0.05265127225501273,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx09-2017-09-18-call,call,2017-09-18,2017-09-18,2017-09-19,21,20.0,2017-10-20,0.009152928495038681,-0.0073368013213081324,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx10-2017-10-25-call,call,2017-10-25,2017-10-25,2017-10-26,21,20.0,2017-11-23,0.009673905662676452,0.0017832539804427672,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx11-2017-11-08-inperson,in-person,2017-11-08,2017-11-08,2017-11-09,21,20.0,2017-12-07,-0.0428163811963963,-0.10419497679812714,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx12-2017-11-29-call,call,2017-11-29,2017-11-29,2017-11-30,21,20.0,2017-12-28,-0.013619201851860496,-0.06984059923016854,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx13-2018-01-15-call,call,2018-01-15,2018-01-16,2018-01-17,21,20.0,2018-02-22,-0.02946720904851685,-0.03348157017850695,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx14-2018-03-09-call,call,2018-03-09,2018-03-09,2018-03-12,21,20.0,2018-04-12,0.008326875180628912,-0.013463020086705598,n=9/11,"{""6770"": ""not_listed"", ""3711"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx15-2018-05-08-call,call,2018-05-08,2018-05-08,2018-05-09,21,20.0,2018-06-06,0.04774407045676066,0.08471605661881845,n=10/11,"{""6770"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx16-2018-11-01-call,call,2018-11-01,2018-11-01,2018-11-02,21,20.0,2018-11-30,0.004397272045782996,0.13510792921914283,n=10/11,"{""6770"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx17-2018-12-01-inperson,in-person,2018-12-01,2018-12-01,2018-12-03,21,20.0,2019-01-02,-0.03376709010793866,-0.013849317324651033,n=10/11,"{""6770"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx18-2018-12-29-call,call,2018-12-29,2018-12-29,2019-01-02,21,20.0,2019-01-30,0.02105904860594965,0.08033843897744557,n=10/11,"{""6770"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx19-2019-06-18-call,call,2019-06-18,2019-06-18,2019-06-19,21,20.0,2019-07-17,0.02477017509657653,0.13057725350099356,n=10/11,"{""6770"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx20-2019-06-29-inperson,in-person,2019-06-29,2019-06-29,2019-07-01,21,20.0,2019-07-29,0.014435043701186201,0.16359541940860473,n=10/11,"{""6770"": ""not_listed""}",not_listed(首筆 2019-09-13),,complete,缺adj
tx21-2019-12-20-call,call,2019-12-20,2019-12-20,2019-12-23,21,20.0,2020-01-30,-0.044931549918555636,-0.07488865378766756,n=10/11,"{""6770"": ""not_listed""}",2019-12-23,0.0027593818984548157,complete,缺adj
tx22-2020-02-07-call,call,2020-02-07,2020-02-07,2020-02-10,21,20.0,2020-03-10,-0.05246533784673979,0.07111651312656583,n=10/11,"{""6770"": ""not_listed""}",2020-02-10,0.16180517336268552,complete,缺adj
tx23-2020-03-27-call,call,2020-03-27,2020-03-27,2020-03-30,21,20.0,2020-04-29,0.1106618056443398,0.2425783305673539,n=10/11,"{""6770"": ""not_listed""}",2020-03-30,0.06876138433515466,complete,缺adj
tx24-2025-01-17-call,call,2025-01-17,2025-01-17,2025-01-20,21,20.0,2025-02-26,0.010993136363793399,0.10926653074294385,n=11/11,{},2025-01-21,0.3706896551724139,complete,缺adj
tx25-2025-06-05-call,call,2025-06-05,2025-06-05,2025-06-06,21,20.0,2025-07-04,0.04028110543160768,0.09899200745390825,n=11/11,{},2025-06-06,0.09346112402880946,complete,缺adj
tx26-2025-09-19-call,call,2025-09-19,2025-09-19,2025-09-22,21,20.0,2025-10-23,0.07638837033008739,0.14965165703495084,n=11/11,{},2025-09-22,-0.05709480393024702,complete,缺adj
tx27-2025-10-30-inperson,in-person,2025-10-30,2025-10-30,2025-10-31,21,20.0,2025-11-28,-0.023368954447419044,0.10495141480646906,n=11/11,{},2025-10-31,-0.11370786516853937,complete,缺adj
tx28-2025-11-24-call,call,2025-11-24,2025-11-24,2025-11-25,21,20.0,2025-12-23,0.06814871884649398,0.18081562450131497,n=11/11,{},2025-11-25,0.04469302541368103,complete,缺adj
tx29-2026-02-04-call,call,2026-02-04,2026-02-04,2026-02-05,21,20.0,2026-03-17,0.04790241875068313,0.18095757323048758,n=11/11,{},2026-02-05,0.1696428571428572,complete,缺adj
tx30-2026-05-14-inperson,in-person,2026-05-14,2026-05-14,2026-05-15,21,20.0,2026-06-12,0.05789673486740088,0.04817280548894038,n=11/11,{},2026-05-15,0.1796706871527951,complete,缺adj
tx31-2026-09-24-inperson,in-person,2026-09-24,2026-09-24,待定,0,,,,,n=11/11,{},待定（NET 無 >2026-09-24 bar）,,partial(0/21),缺adj
