date,equity,cash,n_positions
2021-06-01,10000000,10000000,0
2021-06-02,10000000,10000000,0
2021-06-03,10000000,10000000,0
2021-06-04,10000000,10000000,0
2021-06-07,10000000,10000000,0
2021-06-08,10000000,10000000,0
2021-06-09,10000000,10000000,0
2021-06-10,10000000,10000000,0
2021-06-11,10000000,10000000,0
2021-06-15,9973972,0,9
2021-06-16,9866107,0,9
2021-06-17,10001135,0,9
2021-06-18,9931682,0,9
2021-06-21,9623042,0,9
2021-06-22,9632991,0,9
2021-06-23,10048735,0,9
2021-06-24,10074481,0,9
2021-06-25,10104510,0,9
2021-06-28,10027653,0,9
2021-06-29,10007954,0,9
2021-06-30,10032151,0,9
2021-07-01,9952089,0,9
2021-07-02,10062681,0,9
2021-07-05,10228421,0,9
2021-07-06,10073551,0,9
2021-07-07,9962692,0,9
2021-07-08,10025608,0,9
2021-07-09,9974473,0,9
2021-07-12,10045423,0,9
2021-07-13,9921688,0,9
2021-07-14,10038073,0,9
2021-07-15,10403511,0,9
2021-07-16,10451698,0,9
2021-07-19,10277806,0,9
2021-07-20,10057025,0,9
2021-07-21,10123816,0,9
2021-07-22,10362637,0,9
2021-07-23,10186724,0,9
2021-07-26,10260452,0,9
2021-07-27,10216959,0,9
2021-07-28,9851702,0,9
2021-07-29,10151030,0,9
2021-07-30,9986334,0,9
2021-08-02,10074582,0,9
2021-08-03,10183960,0,9
2021-08-04,10199013,0,9
2021-08-05,10183383,0,9
2021-08-06,9985431,0,9
2021-08-09,9881790,0,9
2021-08-10,9736624,0,9
2021-08-11,9643077,0,9
2021-08-12,9673756,0,9
2021-08-13,9435154,0,9
2021-08-16,9416042,0,9
2021-08-17,9211615,0,9
2021-08-18,9427954,0,9
2021-08-19,9078261,0,9
2021-08-20,9131167,0,9
2021-08-23,9461813,0,9
2021-08-24,9462928,0,9
2021-08-25,9693452,0,9
2021-08-26,9645861,0,9
2021-08-27,9741193,0,9
2021-08-30,9863334,0,9
2021-08-31,9903518,0,9
2021-09-01,10037295,0,9
2021-09-02,9980074,0,9
2021-09-03,10079299,0,9
2021-09-06,10060007,0,9
2021-09-07,9934597,0,9
2021-09-08,9824010,0,9
2021-09-09,9804830,0,9
2021-09-10,10068743,0,9
2021-09-13,9937027,0,9
2021-09-14,9952113,0,9
2021-09-15,9878303,0,9
2021-09-16,9954918,0,9
2021-09-17,10006927,0,9
2021-09-22,9769185,0,9
2021-09-23,9940637,0,9
2021-09-24,9968462,0,9
2021-09-27,9986734,0,9
2021-09-28,9996576,0,9
2021-09-29,9694736,0,9
2021-09-30,9825725,0,9
2021-10-01,9599386,0,9
2021-10-04,9407340,0,9
2021-10-05,9499352,0,9
2021-10-06,9446925,0,9
2021-10-07,9666698,0,9
2021-10-08,9592179,0,9
2021-10-12,9365682,0,9
2021-10-13,9183797,0,9
2021-10-14,9223681,0,9
2021-10-15,9474939,0,9
2021-10-18,9500153,0,9
2021-10-19,9663755,0,9
2021-10-20,9647203,0,9
2021-10-21,9744112,0,9
2021-10-22,9775085,0,9
2021-10-25,9796269,0,9
2021-10-26,9948105,0,9
2021-10-27,10232978,0,9
2021-10-28,10203612,0,9
2021-10-29,10307996,0,9
2021-11-01,10541681,0,9
2021-11-02,10653396,0,9
2021-11-03,10694127,0,9
2021-11-04,10656980,0,9
2021-11-05,10891246,0,9
2021-11-08,10877074,0,9
2021-11-09,10939307,0,9
2021-11-10,11020926,0,9
2021-11-11,10892239,0,9
2021-11-12,11061995,0,9
2021-11-15,11085125,0,9
2021-11-16,11112274,0,9
2021-11-17,11134651,0,9
2021-11-18,11129588,0,9
2021-11-19,11126969,0,9
2021-11-22,11157366,0,9
2021-11-23,11084880,0,9
2021-11-24,11062232,0,9
2021-11-25,11007082,0,9
2021-11-26,10781157,0,9
2021-11-29,10843903,0,9
2021-11-30,11062564,0,9
2021-12-01,11168756,0,9
2021-12-02,11239626,0,9
2021-12-03,11263062,0,9
2021-12-06,11241892,0,9
2021-12-07,11198412,0,9
2021-12-08,11256140,0,9
2021-12-09,11203637,0,9
2021-12-10,11215691,0,9
2021-12-13,11268964,0,9
2021-12-14,11084115,0,9
2021-12-15,11099586,0,9
2021-12-16,11195131,0,9
2021-12-17,11080064,0,9
2021-12-20,10987026,0,9
2021-12-21,11135043,0,9
2021-12-22,11220996,0,9
2021-12-23,11446249,0,9
2021-12-24,11443902,0,9
2021-12-27,11556935,0,9
2021-12-28,11730868,0,9
2021-12-29,11802914,0,9
2021-12-30,11882141,0,9
2022-01-03,11676964,0,9
2022-01-04,11820915,0,9
2022-01-05,11725066,0,9
2022-01-06,11499638,0,9
