date,equity,cash,n_positions
2021-06-01,1000000,1000000,0
2021-06-02,1000000,1000000,0
2021-06-03,1000000,1000000,0
2021-06-04,1000000,1000000,0
2021-06-07,1000000,1000000,0
2021-06-08,1000000,1000000,0
2021-06-09,1000000,1000000,0
2021-06-10,1000000,1000000,0
2021-06-11,1000000,1000000,0
2021-06-15,995203,0,3
2021-06-16,984654,0,3
2021-06-17,989969,0,3
2021-06-18,979754,0,3
2021-06-21,947941,0,3
2021-06-22,942479,0,3
2021-06-23,984908,0,3
2021-06-24,986531,0,3
2021-06-25,989009,0,3
2021-06-28,974907,0,3
2021-06-29,965127,0,3
2021-06-30,961740,0,3
2021-07-01,951708,0,3
2021-07-02,965143,0,3
2021-07-05,982683,0,3
2021-07-06,962765,0,3
2021-07-07,951703,0,3
2021-07-08,957680,0,3
2021-07-09,950750,0,3
2021-07-12,951641,0,3
2021-07-13,952458,0,3
2021-07-14,955622,0,3
2021-07-15,988647,0,3
2021-07-16,983615,0,3
2021-07-19,957325,0,3
2021-07-20,942859,0,3
2021-07-21,943386,0,3
2021-07-22,978549,0,3
2021-07-23,958119,0,3
2021-07-26,968708,0,3
2021-07-27,968628,0,3
2021-07-28,922826,0,3
2021-07-29,951934,0,3
2021-07-30,924856,0,3
2021-08-02,918670,0,3
2021-08-03,932789,0,3
2021-08-04,935363,0,3
2021-08-05,934890,0,3
2021-08-06,903597,0,3
2021-08-09,895256,0,3
2021-08-10,890077,0,3
2021-08-11,886886,0,3
2021-08-12,879441,0,3
2021-08-13,866038,0,3
2021-08-16,869505,0,3
2021-08-17,848886,0,3
2021-08-18,861085,0,3
2021-08-19,837589,0,3
2021-08-20,830586,0,3
2021-08-23,855703,0,3
2021-08-24,854684,0,3
2021-08-25,866102,0,3
2021-08-26,855930,0,3
2021-08-27,859591,0,3
2021-08-30,864091,0,3
2021-08-31,878387,0,3
2021-09-01,889270,0,3
2021-09-02,881210,0,3
2021-09-03,890499,0,3
2021-09-06,897386,0,3
2021-09-07,886750,0,3
2021-09-08,880482,0,3
2021-09-09,869006,0,3
2021-09-10,902200,0,3
2021-09-13,883870,0,3
2021-09-14,883968,0,3
2021-09-15,881236,0,3
2021-09-16,885220,0,3
2021-09-17,889049,0,3
2021-09-22,871132,0,3
2021-09-23,888358,0,3
2021-09-24,891072,0,3
2021-09-27,896753,0,3
2021-09-28,900024,0,3
2021-09-29,883232,0,3
2021-09-30,874957,0,3
2021-10-01,858413,0,3
2021-10-04,862036,0,3
2021-10-05,856678,0,3
2021-10-06,858050,0,3
2021-10-07,872116,0,3
2021-10-08,865677,0,3
2021-10-12,838831,0,3
2021-10-13,823616,0,3
2021-10-14,830631,0,3
2021-10-15,841835,0,3
2021-10-18,844479,0,3
2021-10-19,849217,0,3
2021-10-20,846735,0,3
2021-10-21,862322,0,3
2021-10-22,866213,0,3
2021-10-25,872459,0,3
2021-10-26,887947,0,3
2021-10-27,935315,0,3
2021-10-28,927942,0,3
2021-10-29,953092,0,3
2021-11-01,980497,0,3
